date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2006-01-26,44.0,48.28,39.51,45.0,13218600,0.88,0.9656,0.7902,0.9,660930000,0.0,1.0
2006-01-27,42.2,44.9,41.75,44.88,1150800,0.844,0.898,0.835,0.8976,57540000,0.0,1.0
2006-01-30,44.8,45.51,41.25,42.2,735800,0.896,0.9102,0.825,0.844,36790000,0.0,1.0
2006-01-31,47.52,49.3,45.38,45.5,1111200,0.9504,0.986,0.9076,0.91,55560000,0.0,1.0
2006-02-01,46.56,49.24,45.25,48.9,606700,0.9312,0.9848,0.905,0.978,30335000,0.0,1.0
2006-02-02,44.75,47.91,44.26,47.9,401500,0.895,0.9582,0.8852,0.958,20075000,0.0,1.0
2006-02-03,46.55,46.56,44.25,44.85,245300,0.931,0.9312,0.885,0.897,12265000,0.0,1.0
2006-02-06,47.71,48.0,46.0,47.48,349800,0.9542,0.96,0.92,0.9496,17490000,0.0,1.0
2006-02-07,46.28,47.75,45.25,47.71,267200,0.9256,0.955,0.905,0.9542,13360000,0.0,1.0
2006-02-08,45.74,46.6,45.04,45.85,174400,0.9148,0.932,0.9008,0.917,8720000,0.0,1.0
2006-02-09,44.05,46.0,43.08,45.78,220300,0.881,0.92,0.8616,0.9156,11015000,0.0,1.0
2006-02-10,42.31,43.26,41.5,43.25,375500,0.8462,0.8652,0.83,0.865,18775000,0.0,1.0
2006-02-13,41.48,42.55,41.0,41.75,199100,0.8296,0.851,0.82,0.835,9955000,0.0,1.0
2006-02-14,43.0,43.26,41.19,41.45,197900,0.86,0.8652,0.8238,0.829,9895000,0.0,1.0
2006-02-15,42.7,43.299,42.22,43.1,98100,0.854,0.86598,0.8444,0.862,4905000,0.0,1.0
2006-02-16,44.45,44.7,42.5301,43.75,293000,0.889,0.894,0.850602,0.875,14650000,0.0,1.0
2006-02-17,43.85,45.0,43.85,44.25,138000,0.877,0.9,0.877,0.885,6900000,0.0,1.0
2006-02-21,43.1,44.06,42.81,44.0,68100,0.862,0.8812,0.8562,0.88,3405000,0.0,1.0
2006-02-22,43.87,44.15,42.85,43.0,95900,0.8774,0.883,0.857,0.86,4795000,0.0,1.0
2006-02-23,45.8,45.99,44.75,45.1,249300,0.916,0.9198,0.895,0.902,12465000,0.0,1.0
2006-02-24,46.67,46.75,45.8,45.9,138300,0.9334,0.935,0.916,0.918,6915000,0.0,1.0
