date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1999-01-22,19.69,23.44,18.63,21.0,5655600,0.0376169278619823,0.0447811472364076,0.0355918418521448,0.0401196284967815,2714686642,0.0,1.0
1999-01-25,21.75,22.0,19.69,21.25,1063500,0.0415524723716666,0.0420300869966283,0.0376169278619823,0.0405972431217432,510479744,0.0,1.0
1999-01-26,20.06,22.44,19.75,22.0,715000,0.0383237975069256,0.0428706887365609,0.0377315553719731,0.0420300869966283,343199828,0.0,1.0
1999-01-27,20.0,20.63,19.0,20.13,509100,0.0382091699969348,0.0394127588518382,0.0362987114970881,0.0384575296019149,244367877,0.0,1.0
1999-01-28,19.94,20.13,19.81,20.0,474000,0.038094542486944,0.0384575296019149,0.0378461828819639,0.0382091699969348,227519886,0.0,1.0
1999-01-29,19.0,20.0,19.0,19.94,508400,0.0362987114970881,0.0382091699969348,0.0362987114970881,0.038094542486944,244031877,0.0,1.0
1999-02-01,19.38,19.5,19.0,19.0,322300,0.0370246857270298,0.0372539407470114,0.0362987114970881,0.0362987114970881,154703922,0.0,1.0
1999-02-02,17.88,19.5,17.31,19.0,550200,0.0341589979772597,0.0372539407470114,0.0330700366323471,0.0362987114970881,264095867,0.0,1.0
1999-02-03,18.25,18.5,17.5,17.63,156500,0.034865867622203,0.0353434822471647,0.0334330237473179,0.033681383352298,75119962,0.0,1.0
1999-02-04,19.25,19.75,18.25,18.5,379000,0.0367763261220497,0.0377315553719731,0.034865867622203,0.0353434822471647,181919909,0.0,1.0
1999-02-05,19.81,20.0,19.06,19.56,285100,0.0378461828819639,0.0382091699969348,0.0364133390070789,0.0373685682570022,136847931,0.0,1.0
1999-02-08,19.13,20.0,19.13,19.94,321000,0.0365470711020681,0.0382091699969348,0.0365470711020681,0.038094542486944,154079922,0.0,1.0
1999-02-09,18.38,19.63,18.13,19.5,181200,0.0351142272271831,0.0375023003519915,0.0346366126022214,0.0372539407470114,86975956,0.0,1.0
1999-02-10,18.19,18.88,17.88,18.38,308800,0.0347512401122122,0.0360694564771065,0.0341589979772597,0.0351142272271831,148223925,0.0,1.0
1999-02-11,19.75,20.5,18.25,18.25,275500,0.0377315553719731,0.0391643992468582,0.034865867622203,0.034865867622203,132239933,0.0,1.0
1999-02-12,20.88,21.0,20.0,20.0,228600,0.0398903734767999,0.0401196284967815,0.0382091699969348,0.0382091699969348,109727945,0.0,1.0
1999-02-16,21.0,22.13,18.88,21.25,439600,0.0401196284967815,0.0422784466016084,0.0360694564771065,0.0405972431217432,211007894,0.0,1.0
1999-02-17,19.88,20.75,19.5,20.5,141100,0.0379799149769532,0.0396420138718199,0.0372539407470114,0.0391643992468582,67727966,0.0,1.0
1999-02-18,20.19,20.75,19.63,20.5,147300,0.0385721571119057,0.0396420138718199,0.0375023003519915,0.0391643992468582,70703964,0.0,1.0
1999-02-19,20.88,21.25,19.75,20.0,157000,0.0398903734767999,0.0405972431217432,0.0377315553719731,0.0382091699969348,75359962,0.0,1.0
1999-02-22,21.0,21.5,19.88,21.25,427600,0.0401196284967815,0.0410748577467049,0.0379799149769532,0.0405972431217432,205247897,0.0,1.0
1999-02-23,22.0,22.44,20.25,21.5,287700,0.0420300869966283,0.0428706887365609,0.0386867846218965,0.0410748577467049,138095930,0.0,1.0
1999-02-24,23.75,26.25,23.19,25.25,1276600,0.0453733893713601,0.0501495356209769,0.0443035326114459,0.0482390771211302,612767693,0.0,1.0
1999-02-25,23.0,25.5,22.63,24.75,310700,0.043940545496475,0.0487166917460919,0.0432336758515317,0.0472838478712068,149135925,0.0,1.0
1999-02-26,21.94,24.0,21.75,23.25,359600,0.0419154594866375,0.0458510039963218,0.0415524723716666,0.0444181601214367,172607913,0.0,1.0
1999-03-01,22.06,23.0,21.0,22.5,192000,0.0421447145066191,0.043940545496475,0.0401196284967815,0.0429853162465516,92159953,0.0,1.0
1999-03-02,21.88,22.13,21.5,22.0,115100,0.0418008319766467,0.0422784466016084,0.0410748577467049,0.0420300869966283,55247972,0.0,1.0
1999-03-03,20.38,22.0,20.25,22.0,127900,0.0389351442268766,0.0420300869966283,0.0386867846218965,0.0420300869966283,61391969,0.0,1.0
1999-03-04,19.94,21.5,19.75,21.38,119500,0.038094542486944,0.0410748577467049,0.0377315553719731,0.0408456027267233,57359971,0.0,1.0
1999-03-05,21.06,21.13,20.13,20.13,164100,0.0402342560067723,0.0403679881017616,0.0384575296019149,0.0384575296019149,78767960,0.0,1.0
1999-03-08,21.38,22.0,20.13,20.5,158100,0.0408456027267233,0.0420300869966283,0.0384575296019149,0.0391643992468582,75887962,0.0,1.0
1999-03-09,22.06,22.38,21.31,21.31,298300,0.0421447145066191,0.04275606122657,0.040711870631734,0.040711870631734,143183928,0.0,1.0
1999-03-10,21.69,22.38,21.38,22.38,490300,0.0414378448616758,0.04275606122657,0.0408456027267233,0.04275606122657,235343882,0.0,1.0
1999-03-11,20.75,21.69,20.75,21.31,113100,0.0396420138718199,0.0414378448616758,0.0396420138718199,0.040711870631734,54287972,0.0,1.0
1999-03-12,20.38,20.88,20.0,20.88,189100,0.0389351442268766,0.0398903734767999,0.0382091699969348,0.0398903734767999,90767954,0.0,1.0
1999-03-15,21.25,21.5,20.75,20.88,226700,0.0405972431217432,0.0410748577467049,0.0396420138718199,0.0398903734767999,108815945,0.0,1.0
1999-03-16,20.56,21.63,20.38,21.38,164900,0.039279026756849,0.041323217351685,0.0389351442268766,0.0408456027267233,79151960,0.0,1.0
1999-03-17,20.69,21.13,20.19,20.75,107000,0.0395273863618291,0.0403679881017616,0.0385721571119057,0.0396420138718199,51359974,0.0,1.0
1999-03-18,20.94,21.25,20.25,20.75,96500,0.0400050009867907,0.0405972431217432,0.0386867846218965,0.0396420138718199,46319976,0.0,1.0
1999-03-19,21.0,21.63,20.88,20.88,219400,0.0401196284967815,0.041323217351685,0.0398903734767999,0.0398903734767999,105311947,0.0,1.0
1999-03-22,20.38,21.5,20.38,21.44,76400,0.0389351442268766,0.0410748577467049,0.0389351442268766,0.0409602302367141,36671981,0.0,1.0
1999-03-23,19.13,20.5,18.75,20.5,341600,0.0365470711020681,0.0391643992468582,0.0358210968721264,0.0391643992468582,163967918,0.0,1.0
1999-03-24,19.0,19.13,18.25,19.0,126800,0.0362987114970881,0.0365470711020681,0.034865867622203,0.0362987114970881,60863969,0.0,1.0
1999-03-25,19.25,20.0,18.88,18.94,84000,0.0367763261220497,0.0382091699969348,0.0360694564771065,0.0361840839870973,40319979,0.0,1.0
1999-03-26,20.94,21.0,19.5,19.5,183900,0.0400050009867907,0.0401196284967815,0.0372539407470114,0.0372539407470114,88271955,0.0,1.0
1999-03-29,21.56,22.06,21.19,21.56,137400,0.0411894852566957,0.0421447145066191,0.0404826156117524,0.0411894852566957,65951967,0.0,1.0
1999-03-30,19.75,21.81,19.63,21.63,144800,0.0377315553719731,0.0416670998816574,0.0375023003519915,0.041323217351685,69503965,0.0,1.0
1999-03-31,21.13,21.38,19.44,20.38,320000,0.0403679881017616,0.0408456027267233,0.0371393132370206,0.0389351442268766,153599923,0.0,1.0
1999-04-01,20.5,21.25,20.13,21.13,63400,0.0391643992468582,0.0405972431217432,0.0384575296019149,0.0403679881017616,30431984,0.0,1.0
1999-04-05,19.88,20.75,19.75,20.25,205500,0.0379799149769532,0.0396420138718199,0.0377315553719731,0.0386867846218965,98639950,0.0,1.0
1999-04-06,19.38,20.13,19.0,20.06,145200,0.0370246857270298,0.0384575296019149,0.0362987114970881,0.0383237975069256,69695965,0.0,1.0
1999-04-07,21.0,21.13,19.38,19.5,186000,0.0401196284967815,0.0403679881017616,0.0370246857270298,0.0372539407470114,89279955,0.0,1.0
1999-04-08,21.38,22.0,20.88,21.13,271100,0.0408456027267233,0.0420300869966283,0.0398903734767999,0.0403679881017616,130127934,0.0,1.0
1999-04-09,21.0,21.5,20.88,21.5,101300,0.0401196284967815,0.0410748577467049,0.0398903734767999,0.0410748577467049,48623975,0.0,1.0
1999-04-12,20.13,20.75,19.75,20.75,69400,0.0384575296019149,0.0396420138718199,0.0377315553719731,0.0396420138718199,33311983,0.0,1.0
1999-04-13,19.31,20.5,19.0,20.5,75300,0.0368909536320405,0.0391643992468582,0.0362987114970881,0.0391643992468582,36143981,0.0,1.0
1999-04-14,18.75,19.69,18.75,19.25,100600,0.0358210968721264,0.0376169278619823,0.0358210968721264,0.0367763261220497,48287975,0.0,1.0
1999-04-15,19.25,19.25,18.75,19.25,74700,0.0367763261220497,0.0367763261220497,0.0358210968721264,0.0367763261220497,35855982,0.0,1.0
1999-04-16,19.88,20.19,19.13,19.13,81100,0.0379799149769532,0.0385721571119057,0.0365470711020681,0.0365470711020681,38927980,0.0,1.0
1999-04-19,19.0,20.13,18.75,20.13,65200,0.0362987114970881,0.0384575296019149,0.0358210968721264,0.0384575296019149,31295984,0.0,1.0
1999-04-20,18.63,19.75,18.44,19.0,141000,0.0355918418521448,0.0377315553719731,0.0352288547371739,0.0362987114970881,67679966,0.0,1.0
1999-04-21,18.94,19.0,18.5,18.63,78100,0.0361840839870973,0.0362987114970881,0.0353434822471647,0.0355918418521448,37487981,0.0,1.0
1999-04-22,18.13,19.0,17.94,19.0,473300,0.0346366126022214,0.0362987114970881,0.0342736254872505,0.0362987114970881,227183886,0.0,1.0
1999-04-23,17.25,18.13,17.13,18.06,262600,0.0329554091223563,0.0346366126022214,0.0327261541023747,0.0345028805072321,126047936,0.0,1.0
1999-04-26,16.38,17.5,16.0,17.25,257300,0.0312933102274896,0.0334330237473179,0.0305673359975478,0.0329554091223563,123503938,0.0,1.0
1999-04-27,18.13,18.25,16.5,16.75,472800,0.0346366126022214,0.034865867622203,0.0315225652474712,0.0320001798724329,226943886,0.0,1.0
1999-04-28,18.0,18.25,17.44,18.25,250200,0.0343882529972413,0.034865867622203,0.0333183962373272,0.034865867622203,120095939,0.0,1.0
1999-04-29,18.0,18.13,17.63,18.06,100300,0.0343882529972413,0.0346366126022214,0.033681383352298,0.0345028805072321,48143975,0.0,1.0
1999-04-30,18.25,19.0,18.06,18.19,206900,0.034865867622203,0.0362987114970881,0.0345028805072321,0.0347512401122122,99311950,0.0,1.0
